system:index,date,.geo
20220101T065245_20220101T074203,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T082745_20220101T091700,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101T083245_20220101T092203,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T080745_20220102T085810,2022-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102T081245_20220102T085939,2022-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103T075245_20220103T084229,2022-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T073245_20220104T082201,2022-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104T091245_20220104T100105,2022-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T071245_20220105T080207,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T071745_20220105T080859,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T085245_20220105T094301,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T085745_20220105T094800,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T065745_20220106T074857,2022-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T083245_20220106T092435,2022-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106T083745_20220106T092607,2022-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107T081745_20220107T090603,2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T075745_20220108T084436,2022-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108T080245_20220108T085159,2022-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T073745_20220109T082800,2022-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109T074245_20220109T082933,2022-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110T071745_20220110T080734,2022-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110T072245_20220110T080859,2022-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110T090245_20220110T095203,2022-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111T070109_20220111T075236,2022-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111T084109_20220111T093000,2022-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111T084609_20220111T093531,2022-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112T064609_20220112T073629,2022-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112T082109_20220112T091130,2022-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112T082609_20220112T091559,2022-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113T080109_20220113T085601,2022-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113T080609_20220113T085709,2022-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114T074609_20220114T083405,2022-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115T072609_20220115T081702,2022-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115T073109_20220115T081830,2022-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115T090609_20220115T095601,2022-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116T085009_20220116T093730,2022-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117T083009_20220117T091829,2022-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118T081009_20220118T090101,2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118T081509_20220118T090658,2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119T075009_20220119T084131,2022-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119T075509_20220119T084303,2022-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T073330_20220120T082001,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121T071458_20220121T080330,2022-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121T085458_20220121T094433,2022-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121T085958_20220121T094604,2022-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
